date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2022-07-11,$15.152,3854.43,$144.87,$76.95
2022-07-08,$15.838,3899.38,$147.04,$79.35
2022-07-07,$15.858,3902.62,$146.35,$79.30
2022-07-06,$15.13,3845.08,$142.92,$75.35
2022-07-05,$14.964,3831.39,$141.56,$75.20
2022-07-01,$14.523,3825.33,$138.93,$73.67
2022-06-30,$15.159,3785.38,$136.72,$76.47
2022-06-29,$15.542,3818.83,$139.23,$77.99
2022-06-28,$15.982,3821.55,$137.44,$80.78
2022-06-27,$16.869,3900.11,$141.66,$86.16
2022-06-24,$17.126,3911.74,$141.66,$87.08
2022-06-23,$16.225,3795.73,$138.27,$82.43
2022-06-22,$16.36,3759.89,$135.35,$83.75
2022-06-21,$16.566,3764.79,$135.87,$83.79
2022-06-17,$15.88,3674.84,$131.56,$81.57
2022-06-16,$15.601,3666.77,$130.06,$82.05
2022-06-15,$16.527,3789.99,$135.43,$89.30
2022-06-14,$15.836,3735.48,$132.76,$86.99
2022-06-13,$15.647,3749.63,$131.88,$86.99
2022-06-10,$16.974,3900.86,$137.13,$94.82
2022-06-09,$18.048,4017.82,$142.64,$98.80
2022-06-08,$18.648,4115.77,$147.96,$101.90
2022-06-07,$18.926,4160.68,$148.71,$105.28
2022-06-06,$18.786,4121.43,$146.14,$105.65
2022-06-03,$18.72,4108.54,$145.38,$106.30
2022-06-02,$19.592,4176.82,$151.21,$108.59
2022-06-01,$18.32,4101.23,$148.71,$101.22
2022-05-31,$18.672,4132.15,$148.84,$101.86
2022-05-27,$18.811,4158.24,$149.64,$102.26
2022-05-26,$17.851,4057.84,$143.78,$98.75
2022-05-25,$16.975,3978.73,$140.52,$92.65
2022-05-24,$16.154,3941.48,$140.36,$91.16
2022-05-23,$16.898,3973.75,$143.11,$95.07
2022-05-20,$16.694,3901.36,$137.59,$93.50
2022-05-19,$17.124,3900.79,$137.35,$96.67
2022-05-18,$16.938,3923.68,$140.82,$96.28
2022-05-17,$18.177,4088.85,$149.24,$102.47
2022-05-16,$17.264,4008.01,$145.54,$94.24
2022-05-13,$17.706,4023.89,$147.11,$95.12
2022-05-12,$16.175,3930.08,$142.56,$87.06
2022-05-11,$16.63,3935.18,$146.50,$87.92
2022-05-10,$17.595,4001.05,$154.51,$88.73
2022-05-09,$16.95,3991.24,$152.06,$86.36
2022-05-06,$18.675,4123.34,$157.28,$95.34
2022-05-05,$18.844,4146.87,$156.77,$93.87
2022-05-04,$20.334,4300.17,$166.02,$99.42
2022-05-03,$19.602,4175.48,$159.48,$91.13
2022-05-02,$19.533,4155.38,$157.96,$89.84
2022-04-29,$18.547,4131.93,$157.65,$85.52
2022-04-28,$19.782,4287.50,$163.64,$89.64
2022-04-27,$18.415,4183.96,$156.57,$84.91
2022-04-26,$18.788,4175.20,$156.80,$85.16
2022-04-25,$19.902,4296.12,$162.88,$90.69
2022-04-22,$19.515,4271.78,$161.79,$88.14
2022-04-21,$20.183,4393.66,$166.42,$89.85
2022-04-20,$21.482,4459.45,$167.23,$94.02
2022-04-19,$22.198,4462.21,$167.40,$96.93
2022-04-18,$21.783,4391.69,$165.07,$93.89
2022-04-14,$21.258,4392.59,$165.29,$93.06
2022-04-13,$22.203,4446.59,$170.40,$97.74
2022-04-12,$21.504,4397.45,$167.66,$95.10
2022-04-11,$21.917,4412.53,$165.75,$97.37
2022-04-08,$23.119,4488.28,$170.09,$101.00
2022-04-07,$24.208,4500.21,$172.14,$103.72
2022-04-06,$24.407,4481.15,$171.83,$103.67
2022-04-05,$25.931,4525.12,$175.06,$106.82
2022-04-04,$27.36,4582.64,$178.44,$110.53
2022-04-01,$26.712,4545.86,$174.31,$108.19
2022-03-31,$27.286,4530.41,$174.61,$109.34
2022-03-30,$27.69,4602.45,$177.77,$119.22
2022-03-29,$28.656,4631.60,$178.96,$123.23
2022-03-28,$28.219,4575.52,$175.60,$120.24
2022-03-25,$27.692,4543.06,$174.72,$119.67
2022-03-24,$28.15,4520.16,$174.07,$120.53
2022-03-23,$25.634,4456.24,$170.21,$113.92
2022-03-22,$26.524,4511.61,$168.82,$114.78
2022-03-21,$26.734,4461.18,$165.38,$115.92
2022-03-18,$26.453,4463.12,$163.98,$113.46
2022-03-17,$24.766,4411.67,$160.62,$111.69
2022-03-16,$24.496,4357.86,$159.59,$115.37
2022-03-15,$22.973,4262.45,$155.09,$109.33
2022-03-14,$21.33,4173.11,$150.62,$102.25
2022-03-11,$22.10,4204.31,$154.73,$104.29
2022-03-10,$22.658,4259.52,$158.52,$106.46
2022-03-09,$23.014,4277.88,$162.95,$111.05
